Ref	Designation Text	J	H	K	SpType	SpTpye String	IRTF obs	IRTF Tel	IRTF File	Obs	Telescope	Instrument	Filename	Young?	Dusty?	Blue?	Multiple?	Pec?
51700	23 31 29.38 +15 52 22.8	15.057	14.20	14	10	L0	Adam	IRTF	U51700_2331+1552.fits	SDSS			U51700_2331+1552.fit	No	No	No	No	No
10668	07 46 42.5 +20 00 32	11.759	11.01	10.468	10.5	L0.5	#Adam	IRTF	spex_prism_0746+2000_U10668.fits	&Jan-02	KP 4m		2M0746.fits	No	No	No	Yes	No
20699	17 05 48.34 -05 16 46.2	13.309	12.55	12.032	10.5	L0.5:	#Adam	IRTF	spex_prism_denis1705-0516_040907.fits	Apr-03	CT 4m		U20699.fits	No	No	No	No	No
11682	17 07 33.3 +43 01 30	13.974	13.18	12.624	10.5	L0.5pec	Adam	IRTF	spex_prism_1707+4301_080908.fits	July-01	KP 4m		U11682.fits	No	No	No	No	Yes
10045	00 50 24.4 -15 38 18	13.779	13.08	12.647	11	L1:	Adam	IRTF	spex_prism_0050-1538_080908.fits	Sep-02	KP 4m		U10045_0050-1538.fits	No	No	No	No	No
10074	01 17 47.4 -34 03 25	15.178	14.21	13.489	11	L1γ	#Aug-06	IRTF	spex_prism_U10074_060821.fits	Oct-09	Keck I	LRIS	U10074_0117-3403.fits	Yes	No	No	No	No
10085	01 41 03.2 +18 04 50	13.875	13.03	12.492	11	L1	Adam	IRTF	spex_prism_0141+1804_080907.fits	Feb-04	KP 4m		U10085_0141+1804.fits	No	No	No	No	No
10111	02 19 28.0 -19 38 41	14.11	13.34	12.91	11	L1	Adam	IRTF	spex_prism_0219-1938_080908.fits	Jan-02	CT 4m		U10111.fits	No	No	No	No	No
20114	02 27 10.36 -16 24 47.9	13.573	12.63	12.143	11	L1β	Dec-11	IRTF	U20114_0227-1624.fits	Feb-04	KP 4m		u20114.fits	Yes	No	No	No	Yes
50185	02 35 59.93 -23 31 20.5	13.67	12.73	12.186	11	L1	Adam	IRTF	U50185_GJ1048B_0235-2331_BUR08B.fits	Davy	Keck II	LRIS	U50185_gj1048b_davy.fits	No	No	No	No	No
10381	05 18 46.1 -27 56 45	15.262	14.30	13.615	11	L1γ	Dec-11	IRTF	U10381_0518-2756.fits	Feb-09	Keck I	LRIS	U10381_0518-27.fits	Yes	No	No	No	No
20230	05 43 18.87 +64 22 52.8	13.567	12.67	12.05	11	L1	Dec-11	IRTF	U20230_0543+6422.fits	Feb-04	KP 4m		u20230.fits	No	No	No	No	No
20236	06 02 22.16 +63 36 39.1	14.266	13.36	12.683	11	L1:	Dec-11	IRTF	U20236_0602+6336.fits	Feb-04	KP 4m		u20236.fits	No	No	No	No	No
20270	07 23 14.62 +57 27 08.1	13.97	13.16	12.613	11	L1	Dec-11	IRTF	U20270_0723+5727.fits	Feb-04	KP 4m		u20270.fits	No	No	No	No	No
20373	10 22 48.21 +58 25 45.3	13.499	12.64	12.16	11	L1β	#Mar-05	IRTF	u20373_050323.fits	Feb-04	KP 4m		u20373_n3.fits	Yes	No	No	No	No
10929	10 45 24.0 -01 49 57	13.16	12.35	11.78	11	L1	#Mar-05	IRTF	U10929.fits	#Jan-06	CT 4m		U10929.fits	No	No	No	No	No
20387	10 48 42.81 +01 11 58.0	12.924	12.14	11.623	11	L1	#Mar-05	IRTF	U20387.fits	&Jan-06	CT 4m		U20387.fits	No	No	No	No	No
