Ref	Designation Text	J	H	K	SpType	SpTpye String	IRTF obs	IRTF Tel	IRTF File	Obs	Telescope	Instrument	Filename	Young?	Dusty?	Blue?	Multiple?	Pec?
50091	18 21 28.15 +14 14 01.0	13.431	12.40	11.65	14.5	L4.5	Adam	IRTF	j1821+14prismtcadam.fits	Dagny	Subaru	FOCAS	mfc_j1821+14_focas_sxd_lxd_IRS_clean1.fits	No	No	No	No	No
12128	22 24 43.8 -01 58 52	14.073	12.82	12.022	14.5	L4.5	#Sep-03	IRTF	U12128_2224-0158.fits	known	Keck I	LRIS	U12128_lris.fits	No	Yes	No	No	Yes
20004	00 04 34.84 -40 44 05.8	13.109	12.06	11.396	15	L5	#Adam	IRTF	spex_prism_lhs102bc_040907.fits	known	Keck I	LRIS	U20004_lris_170799.fits	No	No	No	Yes	No
10088	01 44 35.3 -07 16 14	14.191	13.01	12.268	15	L5	#Aug-05	IRTF	U10088_050810.fits	Jan-02	CT 4m		U10088.fits	No	No	No	No	No
13076	02 05 03.4 +12 51 42	15.679	14.45	13.671	15	L5	#Aug-06	IRTF	spex_prism_u13076_060820.fits	known	Keck	LRIS	U13076_lris_141298.fits	No	No	No	No	No
10170	03 10 14.0 -27 56 45	15.795	14.66	13.959	15	L5	Dec-11	IRTF	U10170_0310-2756.fits	&GS-05B	GS		U10170.fits	No	No	No	No	No
10184	03 26 42.2 -21 02 05	16.134	14.79	13.922	15	L5γ	#Nov-07	IRTF	spex_prism_0326-2102_U10184.fits	&GS-05B	GS	GMOS	U10184.fits	Yes	No	No	No	No
20171	03 55 23.37 +11 33 43.7	14.05	12.53	11.526	15	L5γ	Dec-11	IRTF	U20171_0355+1133.fits	&GN-05B	GN	GMOS	U20171.fits	Yes	No	No	No	No
20175	03 58 22.55 -41 16 06.0	15.846	14.61	13.838	15	L5	Dec-11	IRTF	U20175_0358-4116.fits	GS-04B	GS	GMOS	U20175.fits	No	No	No	No	No
10372	05 12 06.3 -29 49 54	15.463	14.16	13.285	15	L5γ	Dec-11	IRTF	U10372_0512-2949.fits	&GS-05B	GS	GMOS	U10372.fits	Yes	No	No	No	No
50061	05 39 52.00 -00 59 01.9	14.03	13.10	12.527	15	L5pec	Cushing	IRTF	U50061_0539-0059_CUS-NP.fits	known	APO	DIS	U50061_SDSS0539-00_Fan00.fits	No	No	No	Yes	Yes
20244	06 24 45.95 -45 21 54.8	14.48	13.34	12.595	15	L5	#Mar-05	IRTF	U20244.fits	#Feb-08	Magellan	LDSS-3	U20244_0624-4521.fits	No	No	No	No	No
10601	06 52 30.7 +47 10 34	13.511	12.38	11.694	15	L5	#Nov-04	IRTF	U10601.fits	&GN-04B	GN	GMOS	U10601_0652+4710.fits	No	No	No	No	No
10714	08 20 29.9 +45 00 31	16.279	15.00	14.218	15	L5	Nov-07	IRTF	spex_prism_0820+4500_U10714.fits	known	Keck	LRIS	U10714_j0820_4500_ascii.fits	No	No	No	No	No
10742	08 35 42.5 -08 19 23	13.169	11.94	11.136	15	L5	#Nov-04	IRTF	U10742.fits	&Feb-04	KP 4m		u10742.fits	No	No	No	No	No
20329	09 05 46.54 +56 23 11.7	15.395	14.28	13.73	15	L5	Dec-11	IRTF	U20329_0905+5623.fits	GN-05B	GN	GMOS	U20329.fits	No	No	No	No	No
11073	12 28 15.2 -15 47 34	14.378	13.35	12.767	15	L5	Adam	IRTF	spex_prism_1228-1547_080114.fits	known	Keck II	LRIS	U11073_1228-1547_lris.fits	No	No	No	Yes	No
11163	13 43 16.7 +39 45 08	16.162	14.86	14.15	15	L5	Dec-11	IRTF	U11163_1343+3945.fits	known	Keck	LRIS	U11163_j1343_3945_davy.fits	No	No	No	No	No
51204	14 38 32.59 +57 22 16.8	15.962	15.10	14.373	15	L5	Adam	IRTF	U51204_1438+5722.fits	SDSS			U51204_SDSS1438+5722.fit	No	No	No	No	No
11296	15 07 47.6 -16 27 38	12.83	11.90	11.312	15	L5blue	#Aug-03	IRTF	2M1507.fits	known	Keck	LRIS	U11296_1507-1627_lris.fits	No	No	Yes	No	No
20752	17 46 11.99 +50 34 03.6	15.096	14.05	13.529	15	L5blue	#Sep-03	IRTF	U20752.fits	GN-04B	GN	GMOS	U20752.fits	No	No	Yes	No	No
11946	20 02 50.7 -05 21 52	15.316	14.28	13.417	15	L5γ	Adam	IRTF	spex_prism_2002-0521_080908.fits	June-10	Keck I	LRIS	2MASS2002-0521_tell.fits	Yes	No	No	No	No
20909	21 37 37.42 +08 08 46.3	14.774	13.61	13.019	15	L5	#Nov-07	IRTF	spex_prism_2137+0808_U20909.fits	July-10	Keck I	LRIS	2MASS2137+0808_notell.fits	No	No	No	No	No
20936	22 12 07.03 +34 30 35.1	16.316	15.18	14.37	15	L5:	#Sep-03	IRTF	U20936.fits	GN-04B	GN	GMOS	U20936.fits	No	No	No	No	No
13209	22 49 09.1 +32 05 49	15.482	14.35	13.588	15	L5	#Aug-03	IRTF	U13209.fits	GN-04B	GN	GMOS	U13209.fits	No	No	No	No	No
20976	22 52 10.73 -17 30 13.4	14.313	13.36	12.901	15	L5	#Aug-05	IRTF	U20976_050810.fits	&GS-05B	GS	GMOS	U20976.fits	No	No	No	Yes	No
10029	00 30 30.0 -14 50 33	16.278	15.27	14.481	16	L6:pec	#Dagny	IRTF	U10029_2M0030-1450_dagny.fits	known	Keck	LRIS	U10029_j0030-1450_ascii.fits	No	No	Yes	No	Yes
13039	01 03 32.0 +19 35 36	16.288	14.90	14.149	16	L6pec	#Sep-03	IRTF	2M0103.fits	known	Keck	LRIS	U13039_lris_1298.fits	No	No	No	No	Yes
10770	08 50 35.9 +10 57 15	16.465	15.22	14.473	16	L6	#Mar-05	IRTF	U10770.fits	known	Keck II	LRIS	U10770_0850+1057_lris.fits	No	No	No	Yes	No
20335	09 15 34.13 +04 22 04.5	14.548	13.53	13.011	16	L6	#Mar-05	IRTF	U20335A.fits	Feb-04	KP 4m		u20335.fits	No	No	No	Yes	No
10880	10 10 14.8 -04 06 49	15.508	14.39	13.619	16	L6	#Mar-05	IRTF	U10880.fits	Jan-02	CT 4m		U10880.fits	No	No	No	No	No
50933	11 18 12.92 -08 56 10.6	15.74	14.77	14.18	16	L6blue	Adam	IRTF	U50933_1118-0856_KIR10A.fits	Davy	Magellan	LDSS-3	U50933_1118-0856_K10.fits	No	No	Yes	No	No
50174	13 31 48.94 -01 16 50.0	15.46	14.47	14.07	16	L6blue	Adam	IRTF	U50174_1331-0116_BUR10A.fits	Hawley	APO		U50174_1331-0116_Hawley02.fits	No	No	Yes	No	No
11314	15 15 00.9 +48 47 39	14.111	13.10	12.5	16	L6	#Sep-03	IRTF	U11314.fits	Feb-04	KP 4m		u11314.fits	No	No	No	No	No
50175	15 26 14.05 +20 43 41.4	15.586	14.50	13.922	16	L6	Adam	IRTF	U50175_1526+2043_BUR04B.fits	Davy	Keck	LRIS	U50175_1526+2043_K00.fits	No	No	No	No	No
13177	21 32 11.4 +13 41 58	15.795	14.60	13.839	16	L6	#Oct-05	IRTF	spex_prism_2132+1341_051017.fits	GN-04B	GN	GMOS	U13177.fits	No	No	No	Yes	No
40003	21 48 16.33 +40 03 59.4	14.147	12.78	11.765	16	L6	Davy	IRTF	j2148+40prismtc_davy1_09sep05.fits	#Dagny	Suburu	FOCAS	mfc_j2148+40_focas_sxd_lxd_IRS_clean1.fits	No	Yes	No	No	No
10312	04 39 01.0 -23 53 08	14.408	13.41	12.816	16.5	L6.5	#Nov-04	IRTF	U10312.fits	Jan-02	CT 4m		U10312.fits	No	No	No	No	No
20968	22 44 31.67 +20 43 43.3	16.476	15.00	14.022	16.5	L6.5	#Davy	IRTF	U20968_2244+2043_dagny.fits	known	Keck I	LRIS	U20968_2244+2043_davy.fits	No	Yes	No	No	No
50207	00 15 02.06 +29 59 32.3	16.158	15.23	14.482	17	L7blue	Adam	IRTF	U50207_0015+2959_KIR10.fits	Davy	Magellan	LDSS-3	U50207_0015+2959_K10.fits	No	No	Yes	No	No
20052	01 07 52.42 +00 41 56.3	15.824	14.51	13.709	17	L7	#Dagny	IRTF	U20052_2M0107_dagny.fits	Scholz	VLT	FORS1	U20052_0107+0041.fits	No	No	No	No	No
10096	02 05 29.3 -11 59 30	14.587	13.57	12.998	17	L7	#Aug-03	IRTF	D0205.fits	known	Keck II	LRIS	U10096_0205-1159_lris.fits	No	No	No	Yes	No
10176	03 18 54.0 -34 21 29	15.569	14.35	13.507	17	L7	#Sep-03	IRTF	U10176.fits	GS-05B	GS	GMOS	U10176.fits	No	No	No	No	No
10789	08 59 25.4 -19 49 26	15.527	14.44	13.751	17	L7:	#Nov-04	IRTF	U10789.fits	Jan-02	CT 4m		U10789.fits	No	No	No	No	No
10802	09 08 38.0 +50 32 08	14.549	13.48	12.945	17	L7	#Nov-04	IRTF	U10802.fits	Jan-02	KP 4m		U10802.fits	No	No	Yes	No	No
11708	17 28 11.4 +39 48 59	15.988	14.76	13.909	17	L7	#Aug-06	IRTF	spex_prism_1728+3948_060821.fits	known	Keck	LRIS	U11708_j1728_3948_ascii.fits	No	No	No	Yes	No
20925	21 52 26.09 +09 37 57.5	15.19	14.08	13.343	17	L7:	#Nov-04	IRTF	U20925.fits	July-03	KP 4m		U20925.fits	No	No	No	Yes	No
10721	08 25 19.6 +21 15 52	15.1	13.79	13.028	17.5	L7.5	#Mar-05	IRTF	u10721_050323.fits	known	Keck	LRIS	U10721_lris_141298.fits	No	No	No	No	No
10158	02 55 03.5 -47 00 50	13.246	12.20	11.558	18	L8	#Adam	IRTF	spex_prism_0255-4700_adam.fits	known	Keck I	LRIS	U10158_D0255-47_lris.fits	No	No	No	No	No
20139	02 57 25.81 -31 05 52.3	14.672	13.52	12.876	18	L8	#Sep-03	IRTF	U20139.fits	Davy	Keck I	LRIS	U20139_2mass0257m3105_ascii.fits	No	No	No	No	No
50188	03 28 42.7 +23 02 05.2	16.693	15.55	14.916	18	L8	Adam	IRTF	U50188_0328+2302_BUR08B.txt	Davy	Keck	LRIS	include	No	No	No	No	Yes
20301	08 30 08.25 +48 28 48.2	15.444	14.34	13.676	18	L8	#Nov-04	IRTF	U20301.fits	known	Keck I	LRIS	U20301_sdss0830+4828_tell_new_ascii.fits	No	No	No	No	No
20320	08 57 58.49 +57 08 51.4	15.038	13.79	12.962	18	L8	Adam	IRTF	spex_prism_0857+5708_080108.fits	Davy	Keck	LRIS	U20320_sdss0857+5708_tell_davy.fits	No	No	No	No	No
50176	09 12 14.69 +14 59 39.6	15.51	14.26	14.043	18	L8	Adam	IRTF	U50176_Gl337CD_20080112_BUR10A.fits	Davy	Keck II	LRIS	U50176_gl337cd_notell_davy.fits	No	No	Yes	Yes	No
10926	10 43 07.5 +22 25 23	15.965	14.73	13.991	18	L8	#Nov-04	IRTF	U10926.fits	GN-04B	GN	GMOS	U10926.fits	No	No	No	No	No
50125	12 07 47.17 +02 44 24.9	15.58	14.56	13.986	18	L8:pec	Dagny	IRTF	U50125_1207+0244_LOO07A.fits	SDSS			U50125_SDSS1207+0244.fit	No	No	No	Yes	Yes
50068	15 23 22.63 +30 14 56.2	16.06	14.93	14.348	18	L8	Adam	IRTF	U50068_Gl584C_20080508_BUR10A.fits	Davy	Keck II	LRIS	U50068_gl584c_davy.fits	No	No	No	No	No
50006	16 32 29.11 +19 04 40.7	15.867	14.61	14.003	18	L8	#Sep-03	IRTF	2M1632.fits	known	Keck II	LRIS	U50006_1632+1904_lris.fits	No	No	No	No	No
13227	23 25 45.3 +42 51 48	15.493	14.45	13.764	18	L8	#Aug-03	IRTF	U13227.fits	GN-04B	GN	GMOS	U13227.fits	No	No	No	No	No
# 50171 added manually because it has no optical spectrum -- REMOVED UNTIL WE GET GOOD OPTICAL - APRIL 10 2013 - need to un-comment it when plotting standards
50171	08 35 06.23 +19 53 05.05	16.094	14.889	14.319	15	L5			prism_0835+1953_20050123_CHI06A.fits				prism_0835+1953_20050123_CHI06A.fits	No	No	No	No	No
